Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2019,UK,Unknown,99,,,
1/1/2020,UK,Unknown,99,,,
1/1/2021,UK,Unknown,99,,,
1/1/2022,UK,Unknown,99,,,
1/1/2013,UT,Utah,49,320136,214362,105775
1/1/2014,UT,Utah,49,332881,222303,110578
1/1/2015,UT,Utah,49,345900,229439,116461
1/1/2016,UT,Utah,49,358777,235447,123331
1/1/2017,UT,Utah,49,371924,240558,131366
1/1/2018,UT,Utah,49,386332,246370,139962
1/1/2019,UT,Utah,49,400958,250920,150038
1/1/2020,UT,Utah,49,414961,248849,166111
1/1/2021,UT,Utah,49,427555,242369,185187
1/1/2022,UT,Utah,49,439191,236037,203154
1/1/2013,VA,Virginia,51,1269554,1077450,192104
1/1/2014,VA,Virginia,51,1311297,1094819,216478
1/1/2015,VA,Virginia,51,1350262,1108290,241972
1/1/2016,VA,Virginia,51,1389142,1133636,255506
1/1/2017,VA,Virginia,51,1427679,1149629,278050
1/1/2018,VA,Virginia,51,1469980,1176496,293484
1/1/2019,VA,Virginia,51,1509513,1176619,332894
1/1/2020,VA,Virginia,51,1545578,1157274,388305
1/1/2021,VA,Virginia,51,1575524,1112731,462792
1/1/2022,VA,Virginia,51,1608040,1074917,533124
1/1/2013,VI,Virgin Islands,78,17883,17739,145
1/1/2014,VI,Virgin Islands,78,18539,18362,178
1/1/2015,VI,Virgin Islands,78,19130,18920,210
1/1/2016,VI,Virgin Islands,78,19602,19373,229
1/1/2017,VI,Virgin Islands,78,19665,19389,276
1/1/2018,VI,Virgin Islands,78,19627,19277,350
1/1/2019,VI,Virgin Islands,78,19917,19477,440
1/1/2020,VI,Virgin Islands,78,20149,19635,514
1/1/2021,VI,Virgin Islands,78,20370,14753,5617
1/1/2022,VI,Virgin Islands,78,20473,14615,5858
1/1/2013,VT,Vermont,50,123888,114860,9028
1/1/2014,VT,Vermont,50,127865,118603,9261
1/1/2015,VT,Vermont,50,131299,121565,9734
1/1/2016,VT,Vermont,50,135288,124848,10441
1/1/2017,VT,Vermont,50,139235,126487,12748
1/1/2018,VT,Vermont,50,143533,128660,14873
1/1/2019,VT,Vermont,50,147222,129424,17797
1/1/2020,VT,Vermont,50,151303,129452,21851
1/1/2021,VT,Vermont,50,155077,124384,30694
1/1/2022,VT,Vermont,50,158431,115491,42940
1/1/2013,WA,Washington,53,1100992,785744,315248
1/1/2014,WA,Washington,53,1146013,807341,338672
1/1/2015,WA,Washington,53,1191377,834563,356814
1/1/2016,WA,Washington,53,1235086,864272,370814
1/1/2017,WA,Washington,53,1277421,884996,392425
1/1/2018,WA,Washington,53,1320498,895221,425277
1/1/2019,WA,Washington,53,1362048,898555,463493
1/1/2020,WA,Washington,53,1398937,888912,510026
1/1/2021,WA,Washington,53,1431948,865220,566729
1/1/2022,WA,Washington,53,1458823,840987,617836
1/1/2013,WI,Wisconsin,55,993953,659782,334171
1/1/2014,WI,Wisconsin,55,1022572,661367,361204
1/1/2015,WI,Wisconsin,55,1049934,653177,396757
1/1/2016,WI,Wisconsin,55,1079832,660728,419104
1/1/2017,WI,Wisconsin,55,1110269,667607,442662
1/1/2018,WI,Wisconsin,55,1142418,671014,471404
1/1/2019,WI,Wisconsin,55,1171957,661504,510453
1/1/2020,WI,Wisconsin,55,1200527,645403,555124
1/1/2021,WI,Wisconsin,55,1225485,622437,603048
1/1/2022,WI,Wisconsin,55,1253079,600089,652990
1/1/2013,WV,West Virginia,54,403904,310301,93603
1/1/2014,WV,West Virginia,54,410733,307044,103688
1/1/2015,WV,West Virginia,54,416136,309149,106987
1/1/2016,WV,West Virginia,54,421908,310597,111312
1/1/2017,WV,West Virginia,54,427858,304096,123761
1/1/2018,WV,West Virginia,54,433950,298536,135414
1/1/2019,WV,West Virginia,54,438643,289839,148804
1/1/2020,WV,West Virginia,54,442688,275122,167566
1/1/2021,WV,West Virginia,54,444287,254195,190092
1/1/2022,WV,West Virginia,54,444937,236885,208052
1/1/2013,WY,Wyoming,56,88760,85515,3244
1/1/2014,WY,Wyoming,56,91832,88606,3226
1/1/2015,WY,Wyoming,56,94879,91500,3379
1/1/2016,WY,Wyoming,56,98262,94816,3445
1/1/2017,WY,Wyoming,56,101935,97921,4014
1/1/2018,WY,Wyoming,56,106143,101843,4300
1/1/2019,WY,Wyoming,56,109989,105045,4944
1/1/2020,WY,Wyoming,56,113802,108216,5587
1/1/2021,WY,Wyoming,56,117393,110505,6888
1/1/2022,WY,Wyoming,56,120624,110351,10273
