Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2014,FL,Florida,12,3893142,2419782,1473361
1/1/2015,FL,Florida,12,4033000,2429287,1603713
1/1/2016,FL,Florida,12,4163699,2466777,1696922
1/1/2017,FL,Florida,12,4295216,2468028,1827188
1/1/2018,FL,Florida,12,4412700,2459571,1953129
1/1/2019,FL,Florida,12,4556611,2455795,2100816
1/1/2020,FL,Florida,12,4680137,2411875,2268263
1/1/2021,FL,Florida,12,4803848,2359900,2443948
1/1/2022,FL,Florida,12,4918360,2318581,2599779
1/1/2013,FO,Foreign and Other Outlying Areas,     ,393493,391830,1663
1/1/2014,FO,Foreign and Other Outlying Areas,     ,406407,404370,2037
1/1/2015,FO,Foreign and Other Outlying Areas,     ,419866,417525,2341
1/1/2016,FO,Foreign and Other Outlying Areas,     ,432833,430328,2505
1/1/2017,FO,Foreign and Other Outlying Areas,     ,447208,444341,2867
1/1/2018,FO,Foreign and Other Outlying Areas,     ,462771,459330,3441
1/1/2019,FO,Foreign and Other Outlying Areas,     ,476955,473445,3510
1/1/2020,FO,Foreign and Other Outlying Areas,     ,492312,488060,4252
1/1/2021,FO,Foreign and Other Outlying Areas,     ,500965,496487,4478
1/1/2022,FO,Foreign and Other Outlying Areas,     ,509117,504006,5111
1/1/2013,GA,Georgia,13,1412936,1039767,373169
1/1/2014,GA,Georgia,13,1470380,1046071,424309
1/1/2015,GA,Georgia,13,1523200,1044530,478670
1/1/2016,GA,Georgia,13,1573277,1049087,524190
1/1/2017,GA,Georgia,13,1624056,1051459,572597
1/1/2018,GA,Georgia,13,1676019,1046723,629297
1/1/2019,GA,Georgia,13,1727412,1040090,687322
1/1/2020,GA,Georgia,13,1773148,1012084,761064
1/1/2021,GA,Georgia,13,1808944,953980,854964
1/1/2022,GA,Georgia,13,1850419,918689,931730
1/1/2013,GU,Guam,66,13624,13577,47
1/1/2014,GU,Guam,66,14192,14129,63
1/1/2015,GU,Guam,66,14870,14818,52
1/1/2016,GU,Guam,66,15471,15410,61
1/1/2017,GU,Guam,66,16183,16108,75
1/1/2018,GU,Guam,66,16794,16696,98
1/1/2019,GU,Guam,66,17352,17259,93
1/1/2020,GU,Guam,66,17803,17702,100
1/1/2021,GU,Guam,66,18212,18082,129
1/1/2022,GU,Guam,66,18697,18525,171
1/1/2013,HI,Hawaii,15,229717,124439,105278
1/1/2014,HI,Hawaii,15,237474,127757,109717
1/1/2015,HI,Hawaii,15,244897,133067,111830
1/1/2016,HI,Hawaii,15,251978,137629,114349
1/1/2017,HI,Hawaii,15,259408,142266,117142
1/1/2018,HI,Hawaii,15,266940,145473,121467
1/1/2019,HI,Hawaii,15,274091,148146,125945
1/1/2020,HI,Hawaii,15,281164,148116,133047
1/1/2021,HI,Hawaii,15,288450,145637,142813
1/1/2022,HI,Hawaii,15,294701,143304,151397
1/1/2013,IA,Iowa,19,549041,471338,77703
1/1/2014,IA,Iowa,19,560773,480299,80474
1/1/2015,IA,Iowa,19,571674,486813,84861
1/1/2016,IA,Iowa,19,584906,482852,102054
1/1/2017,IA,Iowa,19,598167,490174,107992
1/1/2018,IA,Iowa,19,612391,490867,121524
1/1/2019,IA,Iowa,19,625217,483559,141658
1/1/2020,IA,Iowa,19,637388,477397,159991
1/1/2021,IA,Iowa,19,646874,465570,181303
1/1/2022,IA,Iowa,19,658483,451547,206936
1/1/2013,ID,Idaho,16,260086,181362,78724
1/1/2014,ID,Idaho,16,270682,185712,84970
1/1/2015,ID,Idaho,16,282039,190668,91371
1/1/2016,ID,Idaho,16,293980,200017,93962
1/1/2017,ID,Idaho,16,306390,210393,95997
1/1/2018,ID,Idaho,16,320219,216838,103381
1/1/2019,ID,Idaho,16,334445,220061,114384
1/1/2020,ID,Idaho,16,349171,219572,129599
1/1/2021,ID,Idaho,16,361623,215741,145883
1/1/2022,ID,Idaho,16,371459,209591,161868
1/1/2013,IL,Illinois,17,1984102,1762949,221153
1/1/2014,IL,Illinois,17,2027849,1675291,352558
1/1/2015,IL,Illinois,17,2066685,1631498,435187
1/1/2016,IL,Illinois,17,2108645,1645577,463068
1/1/2017,IL,Illinois,17,2149620,1632353,517267
1/1/2018,IL,Illinois,17,2193624,1635322,558302
1/1/2019,IL,Illinois,17,2233242,1623815,609427
1/1/2020,IL,Illinois,17,2265857,1582598,683259
1/1/2021,IL,Illinois,17,2287329,1507029,780299
1/1/2022,IL,Illinois,17,2319787,1439355,880432
1/1/2013,IN,Indiana,18,1094334,860772,233563
1/1/2014,IN,Indiana,18,1123880,871916,251964
1/1/2015,IN,Indiana,18,1150495,879049,271446
1/1/2016,IN,Indiana,18,1178106,887252,290854
1/1/2017,IN,Indiana,18,1204903,883826,321077
1/1/2018,IN,Indiana,18,1233673,870591,363081
1/1/2019,IN,Indiana,18,1260564,857098,403467
1/1/2020,IN,Indiana,18,1283965,823560,460405
1/1/2021,IN,Indiana,18,1301309,775334,525975
1/1/2022,IN,Indiana,18,1321920,743360,578560
1/1/2013,KS,Kansas,20,465899,406533,59366
1/1/2014,KS,Kansas,20,477242,413996,63247
1/1/2015,KS,Kansas,20,487230,421542,65688
1/1/2016,KS,Kansas,20,498471,426275,72196
1/1/2017,KS,Kansas,20,509925,429826,80099
1/1/2018,KS,Kansas,20,523149,434270,88879
1/1/2019,KS,Kansas,20,534927,434951,99975
1/1/2020,KS,Kansas,20,546423,429874,116549
1/1/2021,KS,Kansas,20,555807,414903,140904
1/1/2022,KS,Kansas,20,566148,403610,162538
1/1/2013,KY,Kentucky,21,826457,636238,190219
1/1/2014,KY,Kentucky,21,846071,639253,206818
1/1/2015,KY,Kentucky,21,862686,639227,223459
1/1/2016,KY,Kentucky,21,879560,639581,239979
